,genres,name,popularity,id,genre
0,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",Brad Mehldau,55,2vI9KFm0fwSfPrpEgOeIbq,jazz
1,['alternative hip hop'],Gorillaz,82,3AA28KZvwAUcZuOKwyblJQ,pop
2,"['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",Kurt Rosenwinkel,41,253GMpCNwx1TJtASNAeDoP,jazz
3,"['electro', 'filter house']",Daft Punk,82,4tZwfgrHOc3mvqYlEYSvVi,electro
4,"['contemporary jazz', 'jazz']",Walter Smith III,31,26XwWqwNq8FMgZEKqqdU9b,jazz
5,['bedroom soul'],cehryl,42,0bBrsS9ufPAmeFQgDNG54O,pop
6,[],Immanuel Wilkins,37,5szMuuBbDzULkagWIfI5LG,jazz
7,"['contemporary jazz', 'jazz', 'jazz fusion', 'jazz guitar']",Julian Lage,48,2TSuAchdgVzsAa9wDK1IeT,jazz
8,"['contemporary jazz', 'jazz', 'jazz drums', 'straight-ahead jazz']",Ari Hoenig,39,1P6Llrp12ldpVbyC8gCHBz,jazz
9,"['neo mellow', 'pop rock', 'singer-songwriter']",John Mayer,82,0hEurMDQu99nJRq8pTxO14,pop
10,"['contemporary jazz', 'jazz', 'jazz piano', 'modern jazz piano']",Tigran Hamasyan,45,0D3h8NZqNp7BN97JwtV6eW,jazz
11,"['contemporary jazz', 'ecm-style jazz', 'israeli jazz']",Shai Maestro,34,0ctjXj4AKsMtj6Tsm0JzSj,jazz
12,"['contemporary jazz', 'indie jazz', 'jazz', 'jazz trumpet']",Ambrose Akinmusire,37,4ai53dgSBGhQwcFtGyY1bF,jazz
13,"['contemporary jazz', 'cool jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio']",Brad Mehldau Trio,45,5sQJzc7ZGwC4olbhp2kqqX,jazz
14,[],Jacob Mann,28,6cM1vbrKTztN2uNjH8ub6F,jazz
15,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",Keith Jarrett,57,0F3Aew9DSd6fb6192K1K0Y,jazz
16,['neo mellow'],Jack Johnson,78,3GBPw9NK25X1Wt2OUvOwY3,pop
17,"['avant-garde jazz', 'contemporary jazz', 'cool jazz', 'ecm-style jazz', 'free improvisation', 'free jazz', 'jazz', 'jazz piano']",Paul Bley,35,4HCwj3Nt6DTTmJCpHuQOeM,jazz
18,"['contemporary jazz', 'ecm-style jazz', 'indie jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano', 'swedish jazz']",Aaron Parks,42,22KzEvCtrTGf9l6k7zFcdv,jazz
