,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq'},"{'href': None, 'total': 163506}","['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",https://api.spotify.com/v1/artists/2vI9KFm0fwSfPrpEgOeIbq,2vI9KFm0fwSfPrpEgOeIbq,"[{'height': 1000, 'url': 'https://i.scdn.co/image/317f1b374019ff179b7bc5e9b2748b4bfc79d372', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/304c747b93b032e4e516cb52016ce86bf8fe466c', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/eb59d58c54a9a1c9fb75dc969ec821cfd19af256', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/0984bc18f78db40d56df6632b2ae490ac0bdef6e', 'width': 64}]",Brad Mehldau,55,artist,spotify:artist:2vI9KFm0fwSfPrpEgOeIbq
1,{'spotify': 'https://open.spotify.com/artist/1P6Llrp12ldpVbyC8gCHBz'},"{'href': None, 'total': 15012}","['contemporary jazz', 'jazz', 'jazz drums', 'straight-ahead jazz']",https://api.spotify.com/v1/artists/1P6Llrp12ldpVbyC8gCHBz,1P6Llrp12ldpVbyC8gCHBz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb64c95c4c8cb93f95c41894b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b64c95c4c8cb93f95c41894b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b64c95c4c8cb93f95c41894b', 'width': 160}]",Ari Hoenig,39,artist,spotify:artist:1P6Llrp12ldpVbyC8gCHBz
2,{'spotify': 'https://open.spotify.com/artist/253GMpCNwx1TJtASNAeDoP'},"{'href': None, 'total': 51014}","['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",https://api.spotify.com/v1/artists/253GMpCNwx1TJtASNAeDoP,253GMpCNwx1TJtASNAeDoP,"[{'height': 265, 'url': 'https://i.scdn.co/image/44a19cd461789fa79d9594214d22ceea58462a22', 'width': 400}, {'height': 133, 'url': 'https://i.scdn.co/image/2b4a335c381292104e75b4ab12b9629574053b14', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/5bfd5052a23fbb432523548fa619620dc92265f1', 'width': 63}]",Kurt Rosenwinkel,41,artist,spotify:artist:253GMpCNwx1TJtASNAeDoP
3,{'spotify': 'https://open.spotify.com/artist/3Y8rffZJZVJgNWMM6ZVGin'},"{'href': None, 'total': 2706}","['contemporary jazz', 'straight-ahead jazz']",https://api.spotify.com/v1/artists/3Y8rffZJZVJgNWMM6ZVGin,3Y8rffZJZVJgNWMM6ZVGin,"[{'height': 667, 'url': 'https://i.scdn.co/image/74057212b03587c7feba8d3bc7329df23120c5ee', 'width': 1000}, {'height': 427, 'url': 'https://i.scdn.co/image/70513077df05267ee44049b801d009c094c2bfc0', 'width': 640}, {'height': 133, 'url': 'https://i.scdn.co/image/4fd467398d0e20dc6f38d16b359f0d261dd944a3', 'width': 200}, {'height': 43, 'url': 'https://i.scdn.co/image/d42ab78b134926f299d7f5e691a8dc15aa3a1cf1', 'width': 64}]",Dayna Stephens,16,artist,spotify:artist:3Y8rffZJZVJgNWMM6ZVGin
4,{'spotify': 'https://open.spotify.com/artist/003f4bk13c6Q3gAUXv7dGJ'},"{'href': None, 'total': 95748}","['austrian orchestra', 'classical', 'classical performance', 'orchestra']",https://api.spotify.com/v1/artists/003f4bk13c6Q3gAUXv7dGJ,003f4bk13c6Q3gAUXv7dGJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4bb5eb0860d831455fab32b6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744bb5eb0860d831455fab32b6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784bb5eb0860d831455fab32b6', 'width': 160}]",Wiener Philharmoniker,70,artist,spotify:artist:003f4bk13c6Q3gAUXv7dGJ
5,{'spotify': 'https://open.spotify.com/artist/36kfddkWcVc6XrzNN9BsTP'},"{'href': None, 'total': 10530}","['contemporary jazz', 'jazz saxophone']",https://api.spotify.com/v1/artists/36kfddkWcVc6XrzNN9BsTP,36kfddkWcVc6XrzNN9BsTP,"[{'height': 666, 'url': 'https://i.scdn.co/image/b33c4a2e6dc0e3d94722ca931d5708d26b6fdca5', 'width': 1000}, {'height': 426, 'url': 'https://i.scdn.co/image/8c55864d1f3a7b2e7989d647e009abff16dcecd0', 'width': 640}, {'height': 133, 'url': 'https://i.scdn.co/image/f6efa7d9ea033d80b744e4bdbe7929affdb52f2f', 'width': 200}, {'height': 43, 'url': 'https://i.scdn.co/image/aea4a262a43aa344a8db4f6f4dc9d7aa51a2af3b', 'width': 64}]",Mark Turner,31,artist,spotify:artist:36kfddkWcVc6XrzNN9BsTP
6,{'spotify': 'https://open.spotify.com/artist/3gd8FJtBJtkRxdfbTu19U2'},"{'href': None, 'total': 6153307}","['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",https://api.spotify.com/v1/artists/3gd8FJtBJtkRxdfbTu19U2,3gd8FJtBJtkRxdfbTu19U2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb63065c48a5e377efda61f229', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517463065c48a5e377efda61f229', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17863065c48a5e377efda61f229', 'width': 160}]",Mumford & Sons,75,artist,spotify:artist:3gd8FJtBJtkRxdfbTu19U2
7,{'spotify': 'https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14'},"{'href': None, 'total': 5267099}","['neo mellow', 'pop rock', 'singer-songwriter']",https://api.spotify.com/v1/artists/0hEurMDQu99nJRq8pTxO14,0hEurMDQu99nJRq8pTxO14,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb265ef5547ecff4dabd6352bf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174265ef5547ecff4dabd6352bf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178265ef5547ecff4dabd6352bf', 'width': 160}]",John Mayer,82,artist,spotify:artist:0hEurMDQu99nJRq8pTxO14
8,{'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'},"{'href': None, 'total': 6451313}","['hip hop', 'pittsburgh rap', 'rap']",https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U,4LLpKhyESsyAXpc4laK94U,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ed3b89aa602145fde71a163a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ed3b89aa602145fde71a163a', 'width': 160}]",Mac Miller,87,artist,spotify:artist:4LLpKhyESsyAXpc4laK94U
9,{'spotify': 'https://open.spotify.com/artist/0IV9EI5sd2rlMEoAvDg70M'},"{'href': None, 'total': 280}",[],https://api.spotify.com/v1/artists/0IV9EI5sd2rlMEoAvDg70M,0IV9EI5sd2rlMEoAvDg70M,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273142a4a3205689f3b90a783c9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02142a4a3205689f3b90a783c9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851142a4a3205689f3b90a783c9', 'width': 64}]",Noam Wiesenberg,3,artist,spotify:artist:0IV9EI5sd2rlMEoAvDg70M
